prefecture,root_url,disclosure_url
北海道,https://www.pref.hokkaido.lg.jp/,
青森県,https://www.pref.aomori.lg.jp/,
岩手県,https://www.pref.iwate.jp/,
宮城県,https://www.pref.miyagi.jp/,https://www.pref.miyagi.jp/soshiki/shoku-k/shokuhineisei.html
秋田県,https://www.pref.akita.lg.jp/,
山形県,https://www.pref.yamagata.jp/,
福島県,https://www.pref.fukushima.lg.jp/,
茨城県,https://www.pref.ibaraki.jp/,
栃木県,https://www.pref.tochigi.lg.jp/,
群馬県,https://www.pref.gunma.jp/,
埼玉県,https://www.pref.saitama.lg.jp/,
千葉県,https://www.pref.chiba.lg.jp/,
東京都,https://www.metro.tokyo.lg.jp/,https://www.hokeniryo1.metro.tokyo.lg.jp/shokuhin/ihan/kouhyou.html
神奈川県,https://www.pref.kanagawa.jp/,
新潟県,https://www.pref.niigata.lg.jp/,
富山県,https://www.pref.toyama.jp/,
石川県,https://www.pref.ishikawa.lg.jp/,
福井県,https://www.pref.fukui.lg.jp/,
山梨県,https://www.pref.yamanashi.jp/,http://www.pref.yamanashi.jp/eisei-ykm/shokuhin_fugutoriatsukaikoushukai.html
長野県,https://www.pref.nagano.lg.jp/,
岐阜県,https://www.pref.gifu.lg.jp/,
静岡県,https://www.pref.shizuoka.jp/,
愛知県,https://www.pref.aichi.jp/,
三重県,https://www.pref.mie.lg.jp/,
滋賀県,https://www.pref.shiga.lg.jp/,
京都府,https://www.pref.kyoto.jp/,
大阪府,https://www.pref.osaka.lg.jp/,
兵庫県,https://web.pref.hyogo.lg.jp/,
奈良県,https://www.pref.nara.jp/,
和歌山県,https://www.pref.wakayama.lg.jp/,
鳥取県,https://www.pref.tottori.lg.jp/,
島根県,https://www.pref.shimane.lg.jp/,
岡山県,https://www.pref.okayama.jp/,
広島県,https://www.pref.hiroshima.lg.jp/,
山口県,https://www.pref.yamaguchi.lg.jp/,
徳島県,https://www.pref.tokushima.lg.jp/,
香川県,https://www.pref.kagawa.lg.jp/,
愛媛県,https://www.pref.ehime.jp/,
高知県,https://www.pref.kochi.lg.jp/,
福岡県,https://www.pref.fukuoka.lg.jp/,
佐賀県,https://www.pref.saga.lg.jp/,
長崎県,https://www.pref.nagasaki.lg.jp/,
熊本県,https://www.pref.kumamoto.jp/,
大分県,https://www.pref.oita.jp/,
宮崎県,https://www.pref.miyazaki.lg.jp/,
鹿児島県,https://www.pref.kagoshima.jp/,
沖縄県,https://www.pref.okinawa.lg.jp/index.html,
